"level","metric","denoise_method","taxonomy_method","dataset","total","unassigned","percent_unassigned"
"species","ASV","metabeat","MetaBEAT","ringtrial_sean",356,57,16.01
"species","ASV","dada2","RDP","ringtrial_sean",88,34,38.64
"species","ASV","metabeat","RDP","ringtrial_sean",537,225,41.9
"species","ASV","vsearch","RDP","ringtrial_sean",68,42,61.76
"species","ASV","dada2","BLAST","windermere_2017",83,48,57.83
"species","ASV","metabeat","BLAST","windermere_2017",1552,1012,65.21
"species","ASV","vsearch","BLAST","windermere_2017",43,24,55.81
"species","ASV","dada2","MAPseq","windermere_2017",84,47,55.95
"species","ASV","metabeat","MAPseq","windermere_2017",1587,1023,64.46
"species","ASV","vsearch","MAPseq","windermere_2017",44,24,54.55
"species","ASV","metabeat","MetaBEAT","windermere_2017",1547,789,51
"species","ASV","dada2","RDP","windermere_2017",84,41,48.81
"species","ASV","metabeat","RDP","windermere_2017",1580,903,57.15
"species","ASV","vsearch","RDP","windermere_2017",44,18,40.91
"species","taxa","dada2","BLAST","marchamley",4,2,50
"species","taxa","metabeat","BLAST","marchamley",8,2,25
"species","taxa","vsearch","BLAST","marchamley",5,2,40
"species","taxa","dada2","MAPseq","marchamley",5,2,40
"species","taxa","metabeat","MAPseq","marchamley",6,2,33.33
"species","taxa","vsearch","MAPseq","marchamley",5,2,40
"species","taxa","metabeat","MetaBEAT","marchamley",16,3,18.75
"species","taxa","dada2","RDP","marchamley",9,2,22.22
"species","taxa","metabeat","RDP","marchamley",10,2,20
"species","taxa","vsearch","RDP","marchamley",9,2,22.22
"species","taxa","dada2","BLAST","ringtrial_sean",19,3,15.79
"species","taxa","metabeat","BLAST","ringtrial_sean",18,3,16.67
"species","taxa","vsearch","BLAST","ringtrial_sean",16,3,18.75
"species","taxa","dada2","MAPseq","ringtrial_sean",23,3,13.04
"species","taxa","metabeat","MAPseq","ringtrial_sean",20,3,15
"species","taxa","vsearch","MAPseq","ringtrial_sean",19,3,15.79
"species","taxa","metabeat","MetaBEAT","ringtrial_sean",14,1,7.14
"species","taxa","dada2","RDP","ringtrial_sean",24,4,16.67
"species","taxa","metabeat","RDP","ringtrial_sean",21,4,19.05
"species","taxa","vsearch","RDP","ringtrial_sean",19,4,21.05
"species","taxa","dada2","BLAST","windermere_2017",13,2,15.38
"species","taxa","metabeat","BLAST","windermere_2017",15,2,13.33
"species","taxa","vsearch","BLAST","windermere_2017",13,2,15.38
"species","taxa","dada2","MAPseq","windermere_2017",14,2,14.29
"species","taxa","metabeat","MAPseq","windermere_2017",15,2,13.33
"species","taxa","vsearch","MAPseq","windermere_2017",14,2,14.29
"species","taxa","metabeat","MetaBEAT","windermere_2017",22,2,9.09
